citing_id,cited_id
2018-0004,2017-0267
2018-0004,2017-0309
2018-0005,1987-0003
2018-0005,2004-0024
2018-0005,2005-0055
2018-0005,2012-0115
2018-0005,2012-0142
2018-0005,2017-0038
2018-0005,2018-0020
2018-0005,2018-0022
2018-0005,2018-0178
2018-0005,2018-0276
2018-0005,2018-0342
2018-0005,2018-0387
2018-0005,2018-0535
2018-0006,1976-0003
2018-0006,1994-0000
2018-0006,2000-0019
2018-0006,2001-0034
2018-0006,2005-0018
2018-0006,2007-0039
2018-0006,2012-0023
2018-0006,2012-0068
2018-0006,2012-0082
2018-0006,2013-0009
2018-0006,2013-0114
2018-0006,2013-0140
2018-0006,2015-0155
2018-0007,2007-0066
2018-0007,2007-0087
2018-0007,2008-0027
2018-0007,2012-0024
2018-0007,2012-0171
2018-0007,2013-0015
2018-0007,2013-0118
2018-0007,2013-0138
2018-0007,2014-0037
2018-0007,2014-0053
2018-0007,2014-0081
2018-0007,2014-0099
2018-0007,2014-0105
2018-0007,2014-0111
2018-0007,2014-0125
2018-0007,2014-0175
2018-0007,2014-0183
2018-0007,2015-0047
2018-0007,2015-0063
2018-0007,2016-0179
2018-0007,2016-0338
2018-0007,2017-0388
2018-0007,2018-0389
2018-0008,2016-0136
2018-0009,2000-0000
2018-0009,2004-0025
2018-0009,2005-0014
2018-0009,2007-0040
2018-0009,2009-0013
2018-0009,2009-0034
2018-0009,2014-0013
2018-0009,2015-0107
2018-0009,2015-0169
2018-0009,2016-0305
2018-0012,1937-0000
2018-0012,1976-0000
2018-0012,2003-0007
2018-0014,2001-0048
2018-0014,2006-0060
2018-0014,2008-0097
2018-0014,2009-0117
2018-0014,2010-0151
2018-0014,2012-0054
2018-0014,2012-0158
2018-0014,2013-0125
2018-0014,2014-0126
2018-0014,2014-0154
2018-0014,2017-0067
2018-0014,2017-0168
2018-0015,2005-0045
2018-0015,2006-0054
2018-0015,2012-0174
2018-0015,2016-0080
2018-0015,2016-0285
2018-0017,2012-0181
2018-0017,2015-0214
2018-0017,2015-0232
2018-0017,2016-0085
2018-0017,2017-0002
2018-0017,2017-0138
2018-0017,2017-0288
2018-0018,2005-0028
2018-0018,2008-0066
2018-0018,2012-0030
2018-0018,2012-0159
2018-0018,2014-0009
2018-0018,2014-0174
2018-0018,2016-0137
2018-0018,2016-0151
2018-0018,2016-0335
2018-0018,2016-0346
2018-0018,2018-0381
2018-0019,2017-0339
2018-0019,2018-0521
2018-0020,1989-0000
2018-0020,2000-0005
2018-0020,2003-0002
2018-0020,2009-0013
2018-0020,2012-0038
2018-0020,2013-0011
2018-0020,2015-0068
2018-0020,2016-0216
2018-0020,2016-0287
2018-0020,2017-0076
2018-0020,2017-0381
2018-0020,2018-0301
2018-0022,1994-0006
2018-0022,1994-0012
2018-0022,1995-0023
2018-0022,1996-0024
2018-0022,1997-0034
2018-0022,1999-0011
2018-0022,1999-0024
2018-0022,2000-0020
2018-0022,2001-0047
2018-0022,2004-0008
2018-0022,2006-0061
2018-0022,2007-0073
2018-0022,2007-0077
2018-0022,2007-0078
2018-0022,2008-0068
2018-0022,2009-0061
2018-0022,2009-0110
2018-0022,2010-0066
2018-0022,2010-0105
2018-0022,2011-0036
2018-0022,2011-0037
2018-0022,2012-0135
2018-0022,2012-0137
2018-0022,2012-0163
2018-0022,2012-0170
2018-0022,2014-0093
2018-0022,2014-0182
2018-0022,2016-0185
2018-0022,2016-0292
2018-0022,2017-0287
2018-0022,2017-0318
2018-0022,2017-0385
2018-0022,2017-0410
2018-0022,2018-0234
2018-0022,2018-0384
2018-0023,1994-0006
2018-0023,1994-0012
2018-0023,1995-0023
2018-0023,1996-0024
2018-0023,1997-0034
2018-0023,1999-0024
2018-0023,2000-0020
2018-0023,2007-0078
2018-0023,2008-0068
2018-0023,2009-0061
2018-0023,2010-0105
2018-0023,2011-0036
2018-0023,2011-0037
2018-0023,2012-0170
2018-0023,2014-0093
2018-0023,2014-0182
2018-0023,2016-0185
2018-0023,2017-0318
2018-0023,2017-0385
2018-0024,2004-0072
2018-0024,2006-0013
2018-0024,2007-0053
2018-0024,2015-0047
2018-0024,2015-0087
2018-0024,2015-0120
2018-0024,2015-0151
2018-0024,2015-0171
2018-0024,2016-0271
2018-0025,1976-0000
2018-0025,1977-0002
2018-0025,1991-0013
2018-0025,1993-0010
2018-0025,1993-0014
2018-0025,1994-0011
2018-0025,1997-0004
2018-0025,1997-0020
2018-0025,1998-0015
2018-0025,1998-0026
2018-0025,1998-0027
2018-0025,1999-0028
2018-0025,2000-0036
2018-0025,2001-0007
2018-0025,2002-0016
2018-0025,2002-0026
2018-0025,2003-0039
2018-0025,2003-0043
2018-0025,2004-0020
2018-0025,2005-0008
2018-0025,2006-0015
2018-0025,2006-0023
2018-0025,2007-0038
2018-0025,2007-0054
2018-0025,2008-0025
2018-0025,2008-0057
2018-0025,2008-0075
2018-0025,2009-0021
2018-0025,2009-0039
2018-0025,2010-0054
2018-0025,2011-0092
2018-0025,2011-0131
2018-0025,2011-0137
2018-0025,2012-0075
2018-0025,2012-0081
2018-0025,2012-0093
2018-0025,2012-0120
2018-0025,2013-0042
2018-0025,2013-0051
2018-0025,2013-0147
2018-0025,2013-0150
2018-0025,2014-0003
2018-0025,2014-0101
2018-0025,2014-0159
2018-0025,2015-0077
2018-0025,2015-0190
2018-0025,2016-0243
2018-0025,2017-0138
2018-0026,1999-0026
2018-0026,2013-0158
2018-0027,1993-0002
2018-0027,1995-0002
2018-0027,1997-0000
2018-0027,2004-0073
2018-0027,2009-0025
2018-0027,2013-0161
2018-0028,2013-0154
2018-0028,2017-0317
2018-0029,1989-0000
2018-0029,1991-0003
2018-0029,2015-0087
2018-0031,2003-0045
2018-0031,2005-0044
2018-0031,2008-0069
2018-0031,2008-0088
2018-0031,2017-0166
2018-0031,2018-0063
2018-0033,1994-0013
2018-0033,1998-0018
2018-0033,2000-0031
2018-0033,2002-0036
2018-0033,2006-0070
2018-0033,2010-0152
2018-0033,2012-0151
2018-0033,2012-0164
2018-0033,2012-0179
2018-0033,2012-0185
2018-0033,2015-0236
2018-0033,2016-0114
2018-0033,2016-0361
2019-0000,1985-0000
2019-0000,1999-0019
2019-0000,1999-0043
2019-0000,2004-0045
2019-0000,2008-0055
2019-0000,2010-0015
2019-0000,2014-0003
2019-0000,2014-0106
2019-0000,2015-0007
2019-0000,2015-0067
2019-0000,2015-0071
2019-0000,2016-0042
2019-0000,2016-0073
2019-0000,2016-0148
2019-0000,2016-0228
