AB,abstract
AF
AR
AU,authors
BA
BE
BF
BN,isbn
BP
BS
C1,affiliations
CA
CL
CR,global_references
CT
CY
D2
DA
DE,author_keywords
DI,doi
DT
EA
EF
EI,eissn
EM
EP
ER
EY
FN
FU
FX
GA
GP
HC
HO
HP
ID,index_keywords
IS
J9
JI,iso_source_abbreviation
LA
MA
NR,global_references_count
OA
OI
P2
PA
PD
PG
PI
PM,pubmed_id
PN
PT
PU
PY,pub_year
RP
RI,authors_id
SC
SE
SI
SN,issn
SO,publication_name
SP
SU
TC
TI,document_title
U1
U2
UT
VL
VR
WC
Z9,global_citations
