Abstract,abstract
Acknowledgements
Anthology title
Authors (Raw Affiliation)
Authors Affiliations
Authors,authors
Corresponding Author
Dimensions URL
DOI,doi
FCR
FOR (ANZSRC) Categories
Issue
MeSH terms
Open Access
Pagination
PMCID
PMID
Publication Date (online)
Publication Date (print)
Publication ID
Publication Type
PubYear,pub_year
Rank
RCR
Recent citations
Source Linkout
Source title,publication_name
Sustainable Development Goals
Times cited
Title,document_title
Volume
